Trade Year,Options Class,Underlying,Product Type,Exchange,Volume
2020,A,A,S,CBOE,49640
2020,AA,AA,S,CBOE,377650
2020,AAIC,AAIC,S,CBOE,574
2020,1AAL,AAL,S,CBOE,32400
2020,AAL,AAL,S,CBOE,7485948
2020,AAN,AAN,S,CBOE,20489
2020,AAOI,AAOI,S,CBOE,64258
2020,1AAP,AAP,S,CBOE,750
2020,AAP,AAP,S,CBOE,74419
2020,1AAPL,AAPL,S,CBOE,1000
2020,2AAPL,AAPL,S,CBOE,26661
2020,AAPL,AAPL,S,CBOE,39790567
2020,1AAT,AAT,S,CBOE,72
2020,AAT,AAT,S,CBOE,838
2020,AAU,AAU,S,CBOE,4908
2020,AAWW,AAWW,S,CBOE,35290
2020,AAXJ,AAXJ,S,CBOE,2868
2020,2AAXN,AAXN,S,CBOE,3
2020,AAXN,AAXN,S,CBOE,64385
2020,AB,AB,S,CBOE,10424
2020,ABB,ABB,S,CBOE,25952
2020,2ABBV,ABBV,S,CBOE,3040
2020,ABBV,ABBV,S,CBOE,1027670
2020,ABBV1,ABBV,S,CBOE,1956
2020,ABC,ABC,S,CBOE,53182
2020,ABCB,ABCB,S,CBOE,3774
2020,ABEO,ABEO,S,CBOE,9911
2020,ABEV,ABEV,S,CBOE,31963
2020,ABG,ABG,S,CBOE,1658
2020,2ABMD,ABMD,S,CBOE,145
2020,ABMD,ABMD,S,CBOE,49859
2020,2ABNB,ABNB,S,CBOE,1570
2020,ABNB,ABNB,S,CBOE,56310
2020,ABR,ABR,S,CBOE,47566
2020,2ABT,ABT,S,CBOE,2911
2020,ABT,ABT,S,CBOE,617208
2020,ABTX,ABTX,S,CBOE,97
2020,ABUS,ABUS,S,CBOE,75710
2020,ACA,ACA,S,CBOE,1746
2020,ACAD,ACAD,S,CBOE,43186
2020,ACB,ACB,S,CBOE,1822931
2020,ACB1,ACB,S,CBOE,27598
2020,2ACC,ACC,S,CBOE,14
2020,ACC,ACC,S,CBOE,10876
2020,ACCD,ACCD,S,CBOE,2185
2020,ACCO,ACCO,S,CBOE,1446
2020,ACEL,ACEL,S,CBOE,2455
2020,ACES,ACES,S,CBOE,1168
2020,ACGL,ACGL,S,CBOE,6598
2020,ACH,ACH,S,CBOE,1837
2020,ACHC,ACHC,S,CBOE,6551
2020,ACHN,ACHN,S,CBOE,8907
2020,ACI,ACI,S,CBOE,142479
2020,ACIA,ACIA,S,CBOE,18946
2020,1ACIW,ACIW,S,CBOE,200000
2020,ACIW,ACIW,S,CBOE,6547
2020,ACLS,ACLS,S,CBOE,5086
2020,ACM,ACM,S,CBOE,166978
2020,ACMR,ACMR,S,CBOE,19524
2020,2ACN,ACN,S,CBOE,13305
2020,ACN,ACN,S,CBOE,135976
2020,ACOR,ACOR,S,CBOE,21332
2020,ACRE,ACRE,S,CBOE,3433
2020,ACRX,ACRX,S,CBOE,14154
2020,ACTG,ACTG,S,CBOE,2886
2020,2ACWI,ACWI,S,CBOE,9020
2020,ACWI,ACWI,S,CBOE,24892
2020,ACWV,ACWV,S,CBOE,173
2020,ACWX,ACWX,S,CBOE,190
2020,ADAP,ADAP,S,CBOE,21007
2020,2ADBE,ADBE,S,CBOE,4488
2020,ADBE,ADBE,S,CBOE,1250095
2020,ADC,ADC,S,CBOE,2353
2020,ADCT,ADCT,S,CBOE,260
2020,2ADI,ADI,S,CBOE,4
2020,ADI,ADI,S,CBOE,99054
2020,2ADM,ADM,S,CBOE,286
2020,ADM,ADM,S,CBOE,94979
2020,ADMA,ADMA,S,CBOE,77024
2020,ADMP,ADMP,S,CBOE,13997
2020,ADMS,ADMS,S,CBOE,1159
2020,ADNT,ADNT,S,CBOE,43065
